,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.9,51.6,50.3,4.5,5.0,4.0,15.134397906755325
address.n,21.099999999999998,13.4,50.7,35.9,27.400000000000002,52.1,27.52253622034132
camp.n,44.5,54.6,37.6,8.6,11.700000000000001,6.800000000000001,19.562719647329203
innovation.n,29.099999999999998,18.5,68.89999999999999,22.2,14.799999999999999,44.0,25.41692349597016
mind.n,36.6,65.60000000000001,25.4,5.5,10.2,3.6999999999999997,14.188023118109161
park.n,34.0,25.2,52.2,34.5,28.4,44.1,34.249087579087416
reputation.n,38.5,45.5,33.300000000000004,1.0999999999999999,1.4000000000000001,0.8999999999999999,6.507687761409577
gap.n,22.3,14.499999999999998,48.199999999999996,20.599999999999998,15.299999999999999,31.5,21.43315189140412
challenge.n,49.5,50.3,48.699999999999996,2.8000000000000003,3.5000000000000004,2.3,11.772850122209151
failure.n,38.800000000000004,49.1,32.0,8.799999999999999,11.899999999999999,7.000000000000001,18.478095139921756
air.n,38.5,41.699999999999996,35.699999999999996,16.7,19.1,14.799999999999999,25.356458743286687
moment.n,53.6,54.400000000000006,52.800000000000004,0.8999999999999999,0.8999999999999999,0.8999999999999999,6.945502141674135
tour.n,14.299999999999999,9.5,29.2,28.000000000000004,22.0,38.6,20.00999750124922
movement.n,18.5,11.3,51.0,17.0,12.0,29.2,17.7341478509682
body.n,42.3,53.7,34.9,5.3,7.3999999999999995,4.2,14.972975656161335
guarantee.n,20.200000000000003,13.700000000000001,38.5,23.1,18.0,32.1,21.6013888442387
class.n,22.5,16.1,37.1,21.9,18.7,26.400000000000002,22.197972880423112
road.n,47.0,52.7,42.4,8.0,10.5,6.5,19.390719429665317
speed.n,25.0,15.8,59.599999999999994,17.1,12.1,29.5,20.676073128135332
foundation.n,17.9,10.7,53.6,15.6,10.8,27.900000000000002,16.710475756243447
idea.n,39.0,51.300000000000004,31.5,3.4000000000000004,4.9,2.6,11.515207336387826
entry.n,22.1,14.299999999999999,48.3,26.1,19.6,39.2,24.016869071550524
flight.n,20.5,14.399999999999999,35.3,10.7,8.6,14.099999999999998,14.81046927008054
