,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,27.1,17.9,55.60000000000001,12.3,8.799999999999999,20.5,18.257327296184403
address.n,37.2,28.999999999999996,51.7,24.9,21.7,29.299999999999997,30.434848447133756
camp.n,66.0,85.9,53.7,33.1,48.0,25.2,46.73970474874654
innovation.n,27.400000000000002,17.0,70.1,20.5,13.700000000000001,41.199999999999996,23.700210969525145
mind.n,32.4,51.4,23.599999999999998,2.3,3.6999999999999997,1.6,8.632496741962894
park.n,26.5,18.8,44.9,29.9,24.3,38.7,28.148712226316853
reputation.n,30.8,29.9,31.7,1.6,1.6,1.6,7.019971509913698
gap.n,45.7,48.9,42.9,1.7000000000000002,2.1,1.5,8.814193099768124
challenge.n,49.0,48.9,49.1,4.1000000000000005,5.0,3.4000000000000004,14.173919711921613
failure.n,20.200000000000003,14.299999999999999,34.599999999999994,24.2,20.200000000000003,30.0,22.10972636646596
air.n,44.0,60.5,34.5,10.8,16.400000000000002,8.1,21.79908254950194
moment.n,52.300000000000004,50.5,54.1,1.4000000000000001,1.3,1.4000000000000001,8.556868586112563
tour.n,17.5,12.8,27.500000000000004,23.599999999999998,19.2,30.4,20.322401432901575
movement.n,49.4,51.4,47.5,9.4,11.0,8.200000000000001,21.549013898552296
body.n,42.199999999999996,55.60000000000001,34.0,1.6,2.3,1.2,8.217055433669655
guarantee.n,23.0,17.1,35.199999999999996,20.8,16.6,27.6,21.872356983187707
class.n,35.699999999999996,34.5,37.1,14.399999999999999,15.299999999999999,13.700000000000001,22.67333235322942
road.n,45.7,52.6,40.300000000000004,10.9,14.7,8.6,22.318826134006244
speed.n,22.7,13.900000000000002,62.0,20.3,14.000000000000002,36.9,21.46648550648196
foundation.n,46.6,42.0,52.300000000000004,9.9,9.5,10.299999999999999,21.478826783602496
idea.n,38.7,50.5,31.4,3.0,4.2,2.3,10.774970997640782
entry.n,29.299999999999997,24.099999999999998,37.4,18.9,16.0,23.1,23.532318202846056
flight.n,41.3,52.0,34.2,4.8,6.6000000000000005,3.6999999999999997,14.079772725438433
origin.n,19.8,12.1,55.00000000000001,37.2,27.400000000000002,57.9,27.13963890695674
note.n,29.9,24.8,37.5,22.3,20.4,24.7,25.821889938577307
