,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,35.5,26.0,55.7,10.0,7.8,14.000000000000002,18.841443681416774
address.n,37.7,30.9,48.199999999999996,22.8,20.8,25.1,29.318253699700467
camp.n,59.699999999999996,77.60000000000001,48.5,19.7,28.599999999999998,15.0,34.29416860050699
innovation.n,22.8,13.8,65.5,17.9,11.799999999999999,37.6,20.2019801009703
mind.n,32.1,51.2,23.400000000000002,1.9,3.1,1.3,7.809609465267774
park.n,28.000000000000004,21.6,39.6,33.0,27.200000000000003,41.8,30.397368307141328
reputation.n,42.5,51.5,36.1,6.9,8.7,5.7,17.124543789543708
gap.n,51.2,62.1,43.6,2.6,3.6999999999999997,2.1,11.537764081484767
challenge.n,54.300000000000004,57.8,51.2,7.8,10.299999999999999,6.3,20.580087463370997
failure.n,39.6,49.1,33.2,4.0,5.800000000000001,3.0,12.58570617804182
air.n,40.400000000000006,55.50000000000001,31.8,7.5,11.3,5.6000000000000005,17.406895185529212
moment.n,52.1,50.5,53.7,1.7999999999999998,1.7000000000000002,1.7999999999999998,9.684007434941384
tour.n,35.099999999999994,35.099999999999994,35.099999999999994,14.000000000000002,14.899999999999999,13.200000000000001,22.167543842293398
movement.n,48.1,48.8,47.5,6.800000000000001,7.8,6.0,18.085353189805282
body.n,39.7,49.8,33.1,1.7999999999999998,2.4,1.4000000000000001,8.453401682163221
guarantee.n,23.200000000000003,16.0,42.6,23.9,18.7,33.0,23.547399007109046
class.n,22.3,16.7,33.7,20.1,17.7,23.400000000000002,21.17144303064862
road.n,44.4,53.7,37.9,9.4,13.3,7.3,20.42939059296679
speed.n,26.8,17.2,61.199999999999996,22.3,15.6,38.9,24.446676665755614
foundation.n,19.0,11.4,55.900000000000006,14.399999999999999,10.0,25.5,16.540858502508264
idea.n,38.800000000000004,51.1,31.2,1.4000000000000001,2.0,1.0999999999999999,7.370210309075312
entry.n,29.5,21.3,47.8,20.5,16.6,26.900000000000002,24.591665254715874
flight.n,22.5,15.6,40.1,16.400000000000002,13.0,22.0,19.20937271229855
origin.n,43.6,37.4,52.300000000000004,27.0,24.0,30.7,34.31034829318991
note.n,41.199999999999996,33.4,53.7,32.5,30.2,35.199999999999996,36.59234892706397
rally.n,21.4,13.600000000000001,50.4,11.600000000000001,7.8,23.0,15.755633912984905
gas.n,42.199999999999996,34.2,55.00000000000001,4.2,3.5999999999999996,5.1,13.313151392514095
chip.n,23.599999999999998,15.2,53.2,17.5,12.6,28.499999999999996,20.322401432901575
mark.n,18.5,11.5,48.699999999999996,19.8,14.399999999999999,31.5,19.138965489283898
margin.n,31.8,54.300000000000004,22.5,4.9,8.3,3.5000000000000004,12.482788150088906
function.n,19.3,13.100000000000001,37.1,30.5,24.3,40.9,24.262110378118386
legislation.n,49.3,49.6,49.1,0.6,0.6,0.6,5.438749856354859
