,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,19.6,12.1,51.800000000000004,6.2,4.3,11.0,11.023611023616535
address.n,25.4,19.5,36.7,14.7,12.7,17.4,19.323043238579164
camp.n,42.699999999999996,44.9,40.699999999999996,11.0,12.1,10.100000000000001,21.672563300172868
innovation.n,20.4,12.3,59.599999999999994,14.2,9.3,30.0,17.019988249114625
mind.n,33.4,52.400000000000006,24.5,6.0,9.8,4.3,14.15627069534911
park.n,16.900000000000002,11.700000000000001,30.599999999999998,20.8,16.6,27.800000000000004,18.748866632412746
reputation.n,39.2,46.300000000000004,34.1,1.6,2.0,1.4000000000000001,7.919595949289333
gap.n,48.0,54.300000000000004,43.1,6.6000000000000005,8.4,5.4,17.798876369029593
challenge.n,49.4,49.3,49.5,2.1999999999999997,2.7,1.9,10.424970023937718
failure.n,18.099999999999998,12.4,33.300000000000004,23.0,19.0,29.4,20.403431084011334
air.n,34.4,37.4,31.8,10.2,11.700000000000001,9.1,18.73179115834895
moment.n,24.4,15.7,54.50000000000001,2.1,1.4000000000000001,4.1000000000000005,7.158212067269313
tour.n,14.899999999999999,9.5,35.0,29.5,22.900000000000002,41.4,20.96544776531138
movement.n,25.5,16.400000000000002,56.99999999999999,18.8,13.5,31.1,21.895204954510017
body.n,31.2,28.499999999999996,34.5,7.1,6.7,7.6,14.883547964111244
guarantee.n,35.8,32.5,39.900000000000006,20.0,18.8,21.4,26.758176320519304
class.n,22.6,16.0,38.4,19.3,16.400000000000002,23.400000000000002,20.884922791334425
road.n,45.1,50.5,40.6,1.9,2.6,1.6,9.256889326334198
speed.n,28.599999999999998,18.5,62.3,19.6,13.900000000000002,33.300000000000004,23.676148335402868
foundation.n,24.6,16.0,53.6,16.5,12.0,26.5,20.14696006845698
idea.n,38.6,50.8,31.1,1.2,1.7000000000000002,0.8999999999999999,6.805879810869422
entry.n,20.7,13.5,44.3,23.7,18.0,34.699999999999996,22.149266353538664
flight.n,23.9,18.8,32.7,6.2,5.3,7.3999999999999995,12.172920767013972
origin.n,43.9,51.6,38.2,9.1,11.3,7.6,19.987245933344592
note.n,27.200000000000003,18.3,53.400000000000006,32.7,26.6,42.5,29.823480682173905
rally.n,50.3,52.7,48.1,0.1,0.1,0.1,2.2427661492005804
gas.n,36.1,24.7,67.0,10.0,7.3999999999999995,15.5,19.0
chip.n,38.6,33.0,46.6,4.7,4.3,5.2,13.469224179588073
mark.n,25.8,16.6,57.699999999999996,18.7,14.099999999999998,27.500000000000004,21.964972114710275
margin.n,31.2,48.699999999999996,23.0,2.9000000000000004,4.6,2.1,9.512097560475292
function.n,24.3,18.6,34.9,27.6,23.799999999999997,32.800000000000004,25.897490225888685
legislation.n,51.9,54.900000000000006,49.2,1.0,1.0,0.8999999999999999,7.20416546173115
screen.n,23.5,21.0,26.6,15.7,15.2,16.2,19.208071220192828
commission.n,45.7,40.0,53.300000000000004,16.0,15.0,17.1,27.040710049848915
display.n,19.3,13.0,38.1,29.099999999999998,23.0,39.6,23.698734143409432
office.n,19.900000000000002,13.3,39.4,6.0,4.6,8.5,10.927030703718188
dealer.n,17.9,11.3,44.2,13.4,9.6,21.9,15.487414245121746
community.n,38.2,50.3,30.8,0.8,1.0999999999999999,0.6,5.528109984434102
house.n,43.3,35.0,56.599999999999994,9.700000000000001,9.1,10.299999999999999,20.494145505485218
shape.n,26.3,19.1,41.9,29.7,24.5,37.8,27.94834521040557
access.n,31.3,25.7,39.900000000000006,22.2,18.9,26.900000000000002,26.360197267850634
field.n,36.8,36.8,36.8,7.1,7.9,6.4,16.1641578809414
edge.n,18.3,15.1,23.200000000000003,28.4,25.8,31.5,22.79736826916651
cell.n,24.9,15.8,58.099999999999994,23.5,17.7,34.699999999999996,24.189873914512244
officer.n,65.3,73.9,58.5,27.500000000000004,33.900000000000006,23.200000000000003,42.376290540820115
market.n,48.699999999999996,52.1,45.7,1.0,1.2,0.8999999999999999,6.97853852894716
promotion.n,29.4,19.8,57.099999999999994,41.3,32.4,56.99999999999999,34.84565970103019
accounting.n,22.900000000000002,15.0,48.3,32.1,24.2,47.8,27.112543222648814
television.n,45.4,49.6,41.9,0.4,0.4,0.3,4.261455150532504
campaign.n,45.4,53.1,39.6,1.6,2.0,1.3,8.522910301065007
cheat.v,35.3,22.2,85.7,35.4,22.6,82.0,35.34996463930339
assemble.v,19.2,11.799999999999999,51.300000000000004,11.600000000000001,7.8,23.0,14.923806484942105
root.v,23.1,14.299999999999999,60.0,45.4,35.0,64.8,32.38425543377522
reveal.v,49.2,50.1,48.4,1.0999999999999999,1.2,1.0999999999999999,7.356629663099808
haunt.v,48.5,35.699999999999996,75.8,26.6,19.8,40.300000000000004,35.91796208027399
operate.v,53.900000000000006,51.800000000000004,56.10000000000001,3.5000000000000004,3.4000000000000004,3.5999999999999996,13.73499180924401
frame.v,18.2,14.899999999999999,23.3,34.300000000000004,29.599999999999998,40.9,24.98519561660465
assert.v,34.9,30.7,40.6,13.700000000000001,12.2,15.6,21.866183937761065
introduce.v,37.6,25.0,75.7,14.099999999999998,9.6,26.1,23.025203582161872
swear.v,39.900000000000006,45.9,35.3,18.3,21.5,16.0,27.02165798022024
bow.v,21.4,15.9,32.4,37.6,32.1,45.2,28.366177042386237
figure.v,47.9,62.6,38.800000000000004,5.8999999999999995,8.6,4.5,16.811008298136073
analyze.v,49.2,35.199999999999996,81.6,6.4,3.9,17.2,17.74485841025507
