,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,50.3,52.0,48.699999999999996,0.7000000000000001,0.8,0.6,5.933801479658719
address.n,19.0,12.2,43.2,28.9,22.2,41.6,23.43288287855338
camp.n,66.0,85.9,53.7,33.1,48.0,25.2,46.73970474874654
innovation.n,48.699999999999996,39.5,63.4,17.599999999999998,14.099999999999998,23.200000000000003,29.27661182582438
mind.n,32.1,52.0,23.200000000000003,3.2,5.3,2.1999999999999997,10.135087567455942
park.n,33.300000000000004,27.3,42.8,28.000000000000004,25.0,31.7,30.535225559998736
reputation.n,38.800000000000004,46.300000000000004,33.300000000000004,0.8,1.0,0.7000000000000001,5.571355310873648
gap.n,27.900000000000002,18.0,62.2,24.4,18.099999999999998,37.5,26.091377886190678
challenge.n,60.199999999999996,62.0,58.5,14.2,18.0,11.700000000000001,29.237646964145387
failure.n,42.199999999999996,47.099999999999994,38.2,19.1,23.0,16.3,28.390491365948563
air.n,36.9,44.9,31.3,11.700000000000001,14.299999999999999,9.9,20.77811348510735
moment.n,52.7,51.0,54.6,2.0,2.0,2.1,10.26645021416848
tour.n,17.0,12.2,28.1,28.199999999999996,22.6,37.7,21.895204954510014
movement.n,50.5,54.0,47.4,12.8,15.299999999999999,11.0,25.424397731313128
body.n,43.4,57.599999999999994,34.8,3.1,4.3999999999999995,2.3,11.599137898999217
guarantee.n,36.4,38.6,34.5,16.1,16.5,15.8,24.20826305210682
class.n,35.0,31.2,39.800000000000004,19.1,18.9,19.3,25.855366947695792
road.n,47.599999999999994,53.6,42.9,12.3,16.3,9.9,24.196693989055614
speed.n,56.2,56.10000000000001,56.3,12.3,13.4,11.4,26.29182382414731
foundation.n,21.4,13.3,55.400000000000006,17.599999999999998,12.4,30.3,19.407215153133123
idea.n,39.6,52.5,31.8,3.2,4.6,2.5,11.256997823576231
entry.n,20.8,14.000000000000002,40.300000000000004,19.3,14.7,28.1,20.03596765818911
flight.n,45.1,57.99999999999999,36.8,17.2,24.3,13.3,27.85175039382624
origin.n,67.9,81.3,58.3,44.2,55.800000000000004,36.5,54.78302656845458
note.n,23.9,17.9,36.0,25.5,21.5,31.4,24.687041134976056
rally.n,59.0,63.7,55.00000000000001,16.400000000000002,17.4,15.5,31.106269464530783
gas.n,62.2,58.4,66.60000000000001,25.0,26.0,24.099999999999998,39.433488306260706
chip.n,24.8,16.3,51.800000000000004,12.4,9.1,19.900000000000002,17.53624817342638
mark.n,20.4,12.8,49.6,20.4,14.899999999999999,32.1,20.4
margin.n,35.6,56.2,26.1,12.8,20.3,9.3,21.346662502602136
function.n,28.199999999999996,22.1,38.9,37.1,30.9,46.400000000000006,32.345324237051635
legislation.n,39.800000000000004,33.2,49.5,2.1,1.7000000000000002,2.7,9.142209798511518
screen.n,29.4,29.4,29.4,14.6,15.7,13.700000000000001,20.718108021728238
commission.n,29.599999999999998,18.8,68.8,32.300000000000004,23.7,50.8,30.920543332871755
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,44.3,52.900000000000006,38.0,3.4000000000000004,4.6,2.7,12.27273400673216
dealer.n,21.8,13.900000000000002,50.4,16.7,12.1,27.0,19.08035639080151
community.n,42.0,43.8,40.400000000000006,20.5,22.0,19.2,29.34280150224242
house.n,42.4,34.1,55.900000000000006,9.5,8.9,10.2,20.06987792688336
shape.n,34.8,27.200000000000003,48.199999999999996,36.7,32.2,42.8,35.737375393277
access.n,49.2,89.60000000000001,34.0,12.3,28.7,7.8,24.6
field.n,58.099999999999994,70.0,49.7,27.500000000000004,39.6,21.0,39.97186510534628
edge.n,17.8,14.2,23.799999999999997,33.900000000000006,30.099999999999998,38.7,24.564608688110628
cell.n,67.80000000000001,70.8,65.0,25.900000000000002,34.1,20.9,41.904892315814394
officer.n,71.39999999999999,69.39999999999999,73.5,51.2,50.8,51.6,60.46221960861179
market.n,49.0,52.6,45.9,1.0999999999999999,1.3,0.8999999999999999,7.34166193719106
promotion.n,71.2,64.5,79.60000000000001,61.4,56.3,67.4,66.11868117257029
accounting.n,24.0,15.5,52.6,30.599999999999998,23.1,45.1,27.099815497526915
television.n,30.0,22.1,46.800000000000004,7.5,5.8999999999999995,10.2,15.0
campaign.n,43.3,43.1,43.6,11.0,11.200000000000001,10.8,21.824298385056963
cheat.v,49.6,40.699999999999996,63.5,18.5,14.399999999999999,25.8,30.29191311224829
assemble.v,52.2,53.300000000000004,51.2,3.5999999999999996,3.5999999999999996,3.5000000000000004,13.708391590555035
root.v,41.099999999999994,49.2,35.199999999999996,8.0,11.1,6.3,18.132843130629016
reveal.v,51.4,52.5,50.4,5.4,5.7,5.1,16.660132052297786
haunt.v,18.8,11.4,53.300000000000004,30.7,20.4,62.3,24.024154511657635
operate.v,55.00000000000001,52.800000000000004,57.4,5.6000000000000005,5.5,5.800000000000001,17.549928774784245
frame.v,40.5,63.800000000000004,29.7,23.1,36.7,16.8,30.586761842339573
assert.v,43.4,50.5,38.1,4.1000000000000005,5.1,3.4000000000000004,13.339415279539056
introduce.v,61.8,56.49999999999999,68.2,9.0,8.6,9.4,23.583892808440254
swear.v,38.7,67.80000000000001,27.1,7.8,15.6,5.2,17.374118682684312
bow.v,41.3,37.7,45.6,47.8,44.5,51.6,44.43129527709044
figure.v,58.099999999999994,69.6,49.8,23.200000000000003,30.9,18.5,36.71403001578552
analyze.v,62.0,48.3,86.7,10.100000000000001,6.9,19.1,25.023988491045948
expose.v,39.7,33.2,49.4,2.9000000000000004,2.1999999999999997,4.1000000000000005,10.7298648640139
conclude.v,53.1,71.89999999999999,42.1,21.8,31.2,16.7,34.02322736014325
appeal.v,49.9,68.60000000000001,39.2,23.5,33.300000000000004,18.2,34.24397757270612
owe.v,44.5,59.9,35.5,18.8,25.4,15.0,28.924038445555972
mount.v,22.0,18.6,27.1,41.199999999999996,37.6,45.6,30.106477708293937
regain.v,69.6,59.3,84.2,33.1,27.700000000000003,41.099999999999994,47.99749993489244
relax.v,27.3,19.400000000000002,46.1,12.2,9.2,18.0,18.249931506720785
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,53.900000000000006,37.4,96.3,3.1,1.7000000000000002,14.799999999999999,12.926329718833573
commit.v,54.800000000000004,53.400000000000006,56.2,23.0,24.6,21.5,35.50211261319529
pour.v,52.1,59.599999999999994,46.2,39.300000000000004,43.5,35.8,45.249640882552875
deny.v,57.599999999999994,49.8,68.2,3.0,2.7,3.5000000000000004,13.145341380123986
lay.v,37.4,27.700000000000003,57.8,34.5,28.4,43.8,35.920746094701315
shave.v,59.4,54.6,65.10000000000001,2.6,2.4,2.8000000000000003,12.427389106324787
weigh.v,55.400000000000006,64.1,48.8,49.8,59.0,43.0,52.525422416197664
apply.v,37.7,55.400000000000006,28.599999999999998,2.7,4.1000000000000005,2.0,10.089103032480143
level.v,50.8,54.2,47.8,37.8,41.099999999999994,35.0,43.82054312762451
presume.v,35.3,22.8,77.8,19.5,12.5,44.2,26.236425061353156
wait.v,66.10000000000001,50.0,97.2,0.8999999999999999,0.5,4.3,7.712976079309465
stick.v,39.800000000000004,53.300000000000004,31.8,4.9,6.9,3.8,13.964956140282004
separate.v,32.800000000000004,20.7,79.0,10.5,6.6000000000000005,24.7,18.558017135459274
reap.v,33.1,19.8,100.0,23.9,13.600000000000001,100.0,28.1263221911433
signal.v,28.1,18.7,56.8,14.6,10.2,25.6,20.254875956174107
swim.v,18.2,10.2,83.7,4.6,2.5,33.5,9.149863386958298
slow.v,62.9,49.3,86.8,2.4,1.7000000000000002,4.5,12.286578042726134
