,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,64.5,94.5,49.0,2.0,9.0,1.0999999999999999,11.357816691600547
address.n,42.9,32.800000000000004,61.9,34.599999999999994,29.299999999999997,42.3,38.5271332958994
camp.n,54.6,70.19999999999999,44.7,16.6,21.8,13.4,30.10581339210087
innovation.n,66.2,92.80000000000001,51.5,3.5000000000000004,10.299999999999999,2.1,15.221695043588282
mind.n,38.5,99.4,23.9,2.7,43.0,1.4000000000000001,10.195587280779858
park.n,46.2,90.4,31.1,3.5999999999999996,13.4,2.1,12.896511156122806
reputation.n,18.3,13.4,28.599999999999998,17.1,13.200000000000001,24.2,17.689827585366682
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,61.199999999999996,85.7,47.5,3.5999999999999996,10.299999999999999,2.1999999999999997,14.843180252223577
failure.n,50.4,98.6,33.900000000000006,4.1000000000000005,37.3,2.1999999999999997,14.374978260853128
air.n,43.7,96.6,28.199999999999996,1.3,15.8,0.7000000000000001,7.5372408744845085
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,47.9,89.9,32.7,3.2,14.7,1.7999999999999998,12.380630032433729
movement.n,61.0,88.1,46.7,4.1000000000000005,11.700000000000001,2.5,15.81455026233753
body.n,49.2,96.2,33.0,2.1999999999999997,17.5,1.2,10.403845442911962
guarantee.n,46.7,89.4,31.6,3.5000000000000004,11.799999999999999,2.0,12.784756548327387
class.n,44.7,96.6,29.099999999999998,1.0,9.6,0.5,6.685805860178712
road.n,55.00000000000001,92.2,39.2,2.7,12.9,1.5,12.186057606953941
speed.n,66.0,91.2,51.7,4.0,9.3,2.6,16.24807680927192
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,58.099999999999994,98.0,41.3,6.9,37.1,3.8,20.022237637187306
flight.n,48.6,97.39999999999999,32.4,1.0999999999999999,13.900000000000002,0.6,7.311634564172364
origin.n,56.2,74.7,45.0,18.7,26.0,14.6,32.41820476213944
note.n,49.8,89.5,34.5,1.4000000000000001,6.1,0.8,8.349850298059241
rally.n,64.9,95.89999999999999,49.0,4.1000000000000005,15.6,2.4,16.312265323982444
gas.n,71.5,97.89999999999999,56.3,0.7000000000000001,5.800000000000001,0.4,7.074602462329597
chip.n,63.4,97.7,46.9,1.0,9.3,0.5,7.962411694957753
mark.n,46.1,33.800000000000004,72.39999999999999,33.6,26.6,45.7,39.35682914056975
margin.n,34.9,81.0,22.3,6.6000000000000005,20.5,3.9,15.176956216580452
function.n,20.1,14.6,32.6,24.7,20.1,32.2,22.281606764324696
legislation.n,64.3,91.8,49.5,0.8,2.0,0.5,7.172168430816443
screen.n,41.699999999999996,73.9,28.999999999999996,3.9,9.2,2.5,12.752646784099369
commission.n,61.3,92.2,46.0,1.4000000000000001,4.5,0.8,9.26390846241477
display.n,48.8,93.89999999999999,33.0,6.6000000000000005,23.799999999999997,3.9,17.946587419339643
office.n,52.400000000000006,95.3,36.1,0.5,3.2,0.3,5.118593556827891
dealer.n,60.6,94.8,44.5,2.4,9.4,1.4000000000000001,12.059850745345068
community.n,46.7,98.5,30.599999999999998,0.7000000000000001,13.4,0.4,5.717516943569123
house.n,70.3,94.6,56.00000000000001,4.0,13.900000000000002,2.3,16.769019053003667
shape.n,39.1,69.5,27.200000000000003,10.6,21.6,7.000000000000001,20.358290694456645
access.n,48.199999999999996,99.4,31.8,9.3,60.699999999999996,5.0,21.17215152033444
field.n,52.6,99.9,35.699999999999996,3.0,52.5,1.6,12.561846997953765
edge.n,23.5,20.8,27.200000000000003,35.099999999999994,32.5,38.2,28.720201949150706
cell.n,63.1,90.4,48.4,2.1999999999999997,8.799999999999999,1.3,11.782189949241184
officer.n,56.8,93.5,40.8,0.7000000000000001,2.5,0.4,6.305553108173779
market.n,63.1,99.8,46.1,0.2,12.5,0.1,3.5524639336663224
promotion.n,48.3,89.3,33.1,4.3,17.599999999999998,2.5,14.411453778158537
accounting.n,59.3,92.2,43.7,13.700000000000001,35.699999999999996,8.4,28.502806879323305
television.n,59.0,98.8,42.0,1.0999999999999999,14.7,0.6,8.056053624449131
campaign.n,56.2,98.8,39.300000000000004,1.3,16.900000000000002,0.7000000000000001,8.54751425854324
cheat.v,40.0,25.900000000000002,87.5,34.599999999999994,22.900000000000002,70.89999999999999,37.20215047547654
assemble.v,65.60000000000001,95.5,49.9,5.7,18.6,3.4000000000000004,19.337011144434914
root.v,59.0,93.7,43.1,14.299999999999999,41.8,8.6,29.04651442083886
reveal.v,64.5,98.4,48.0,1.4000000000000001,12.2,0.7000000000000001,9.50263121456368
haunt.v,20.9,12.9,56.2,38.0,25.0,79.60000000000001,28.18155425096352
operate.v,69.69999999999999,98.5,53.900000000000006,0.8,7.199999999999999,0.4,7.467261881037787
frame.v,45.800000000000004,97.89999999999999,29.9,18.2,64.60000000000001,10.6,28.871439174381315
assert.v,31.5,24.5,44.1,23.1,18.5,30.7,26.974988415196773
introduce.v,75.7,98.0,61.6,0.7000000000000001,4.9,0.4,7.279423054061359
swear.v,44.4,97.6,28.799999999999997,5.3,37.4,2.8000000000000003,15.340143415235726
bow.v,28.599999999999998,21.7,41.699999999999996,44.4,37.5,54.300000000000004,35.63481443756933
figure.v,53.6,97.0,37.1,1.7999999999999998,15.7,1.0,9.82242332624694
analyze.v,40.699999999999996,27.6,77.60000000000001,5.6000000000000005,3.3000000000000003,19.1,15.097019573412496
expose.v,63.9,93.0,48.699999999999996,4.5,13.200000000000001,2.7,16.957299313275094
conclude.v,46.5,97.1,30.599999999999998,2.3,20.7,1.2,10.341663309158735
appeal.v,46.800000000000004,93.30000000000001,31.3,5.800000000000001,25.900000000000002,3.2,16.47543626129518
owe.v,46.9,93.0,31.3,5.1,22.7,2.9000000000000004,15.465768652090977
mount.v,34.0,90.0,20.9,10.4,35.3,6.1,18.804254837669053
regain.v,46.5,37.0,62.5,13.4,9.9,20.5,24.961971076018816
relax.v,55.900000000000006,81.89999999999999,42.4,0.8,1.6,0.6,6.687301398920195
cultivate.v,48.3,50.7,46.1,9.8,12.4,8.200000000000001,21.756378375088076
violate.v,90.8,85.39999999999999,97.0,7.199999999999999,5.0,12.7,25.568730903195018
commit.v,68.60000000000001,92.10000000000001,54.7,2.4,7.7,1.5,12.831211945876353
pour.v,47.599999999999994,95.89999999999999,31.7,3.6999999999999997,23.7,2.0,13.271021060943275
deny.v,78.3,93.8,67.10000000000001,1.7999999999999998,4.8,1.0999999999999999,11.871815362445625
lay.v,48.699999999999996,91.60000000000001,33.1,4.7,16.8,2.7,15.129111011556494
shave.v,32.2,21.5,64.7,21.5,13.900000000000002,46.9,26.31159440246828
weigh.v,44.2,93.5,28.9,16.6,47.699999999999996,10.0,27.08726638108763
apply.v,44.5,98.3,28.799999999999997,4.5,37.2,2.4,14.150971698084906
level.v,47.0,72.89999999999999,34.699999999999996,26.200000000000003,38.5,19.900000000000002,35.09130946545027
presume.v,22.2,13.0,75.0,23.200000000000003,14.000000000000002,68.30000000000001,22.694492724006857
wait.v,98.2,99.4,97.1,0.1,0.2,0.1,3.1336879231984796
stick.v,46.0,98.1,30.0,2.8000000000000003,27.3,1.5,11.349008767288886
separate.v,85.7,91.3,80.7,1.4000000000000001,2.5,1.0,10.953538241134689
reap.v,100.0,100.0,100.0,100.0,100.0,100.0,100.0
signal.v,25.6,17.0,52.1,14.499999999999998,9.9,27.1,19.266551326067674
swim.v,33.1,20.5,86.7,4.5,2.5,24.6,12.204507364084796
slow.v,90.9,96.2,86.2,0.8,1.5,0.5,8.527602242131138
question.v,65.7,97.7,49.4,2.3,13.3,1.2,12.292680749128726
happen.v,91.0,99.5,83.89999999999999,3.1,16.6,1.7000000000000002,16.79583281650541
insist.v,66.0,97.1,50.0,3.3000000000000003,15.2,1.7999999999999998,14.758048651498612
observe.v,47.699999999999996,96.6,31.7,1.6,15.2,0.8,8.736131867136622
lie.v,85.39999999999999,97.6,75.8,0.8999999999999999,3.0,0.5,8.766983517721474
deploy.v,59.3,98.6,42.4,22.6,65.10000000000001,13.700000000000001,36.608468965527635
accommodate.v,6.5,4.5,11.1,49.6,36.5,77.2,17.955500549970754
sniff.v,35.699999999999996,46.9,28.799999999999997,22.0,27.200000000000003,18.5,28.024988849239527
straighten.v,50.1,78.9,36.7,7.3999999999999995,13.200000000000001,5.1,19.254609837646672
pursue.v,88.5,96.89999999999999,81.5,0.8,2.0,0.5,8.414273587185052
defend.v,72.8,98.8,57.599999999999994,4.0,21.8,2.1999999999999997,17.064583206161235
divide.v,48.1,81.2,34.1,7.1,19.5,4.3999999999999995,18.479989177486008
mean,53.83100000000001,80.78999999999999,46.254000000000005,9.307,19.883,10.719000000000001,17.166594201454483
