,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,26.0,17.0,55.300000000000004,9.2,6.6000000000000005,15.299999999999999,15.466091943344964
address.n,24.6,15.6,56.89999999999999,29.599999999999998,22.900000000000002,42.1,26.98443996083669
camp.n,54.50000000000001,63.9,47.5,14.2,18.6,11.600000000000001,27.819058215547127
innovation.n,49.4,48.199999999999996,50.8,0.0,0.0,0.0,0.0
mind.n,32.4,50.5,23.9,2.1999999999999997,3.5999999999999996,1.6,8.442748367682173
park.n,26.400000000000002,19.5,41.0,28.799999999999997,24.0,36.1,27.573900703382538
reputation.n,12.7,8.200000000000001,28.199999999999996,18.2,13.600000000000001,27.6,15.203289117819208
gap.n,48.1,47.4,48.699999999999996,8.3,8.5,8.1,19.980740727010097
challenge.n,54.50000000000001,55.7,53.300000000000004,4.7,5.8999999999999995,3.9,16.004686813555587
failure.n,26.3,19.900000000000002,39.0,20.3,17.7,23.799999999999997,23.10605981122701
air.n,37.5,51.9,29.4,2.9000000000000004,4.5,2.1999999999999997,10.428326807307105
moment.n,25.8,16.5,58.699999999999996,4.8,3.2,9.4,11.128342194594845
tour.n,13.3,8.799999999999999,27.1,24.6,19.3,33.800000000000004,18.08811764667623
movement.n,40.2,35.5,46.300000000000004,4.0,3.6999999999999997,4.3,12.680693987317888
body.n,39.5,49.4,33.0,0.1,0.2,0.1,1.9874606914351791
guarantee.n,40.5,46.400000000000006,36.0,20.9,23.1,19.0,29.093813775440303
class.n,21.9,16.0,34.699999999999996,18.8,16.400000000000002,22.1,20.29088465296671
road.n,29.9,24.2,39.1,4.2,3.6999999999999997,4.9,11.206248257110852
speed.n,23.0,14.099999999999998,63.1,22.7,15.6,41.4,22.849507653339053
foundation.n,38.6,30.599999999999998,52.300000000000004,9.8,8.1,12.3,19.44942158522973
idea.n,38.800000000000004,51.0,31.3,3.1,4.3999999999999995,2.4,10.967223896684157
entry.n,16.6,10.5,39.300000000000004,18.6,13.900000000000002,28.299999999999997,17.57156794369814
flight.n,39.6,38.5,40.699999999999996,16.1,15.9,16.3,25.249950495000977
origin.n,22.400000000000002,14.299999999999999,52.0,39.2,29.099999999999998,59.9,29.632414683923418
note.n,49.0,59.699999999999996,41.6,20.0,29.4,15.1,31.304951684997057
rally.n,38.5,29.4,55.60000000000001,10.6,8.0,15.5,20.201485093923168
gas.n,23.0,14.499999999999998,54.900000000000006,5.5,3.8,9.700000000000001,11.247221879201993
chip.n,52.800000000000004,58.099999999999994,48.4,5.4,6.7,4.6,16.88549673536435
mark.n,20.599999999999998,12.4,60.8,27.3,19.6,44.5,23.714552494196468
margin.n,25.1,25.5,24.7,16.3,16.400000000000002,16.2,20.226962203949462
function.n,16.400000000000002,11.1,31.4,25.900000000000002,20.7,34.8,20.609706451087558
legislation.n,40.9,34.2,50.9,3.9,3.2,5.0,12.629726837901126
screen.n,39.300000000000004,44.5,35.099999999999994,20.9,23.799999999999997,18.6,28.659553381028115
commission.n,38.0,29.5,53.5,16.5,14.000000000000002,20.200000000000003,25.03996805109783
display.n,17.2,11.700000000000001,31.900000000000002,20.0,15.9,26.8,18.547236990991408
office.n,30.2,25.5,36.9,2.7,2.5,3.0,9.029950165975448
dealer.n,18.6,11.700000000000001,46.0,14.499999999999998,10.4,23.7,16.42254547870092
community.n,42.6,55.800000000000004,34.5,10.7,15.0,8.3,21.349941451910354
house.n,21.4,13.200000000000001,55.800000000000004,9.8,7.1,15.7,14.48171260590404
shape.n,21.9,15.1,39.800000000000004,29.099999999999998,23.599999999999998,38.0,25.24460338369371
access.n,36.0,32.4,40.6,26.400000000000002,24.3,28.999999999999996,30.82855818879631
field.n,41.4,49.8,35.4,5.4,7.9,4.2,14.951922953252534
edge.n,27.1,34.0,22.5,15.0,18.099999999999998,12.8,20.161845153655953
cell.n,24.6,15.4,60.099999999999994,24.099999999999998,18.2,35.8,24.348716598621785
officer.n,57.599999999999994,65.60000000000001,51.300000000000004,31.4,38.9,26.400000000000002,42.528108352006434
market.n,49.3,51.4,47.4,2.3,2.7,2.0,10.648474069086143
promotion.n,24.4,16.5,46.5,32.4,25.5,44.5,28.116898833263956
accounting.n,36.6,32.6,41.699999999999996,12.4,12.0,12.8,21.30352083576797
television.n,46.1,50.4,42.5,3.0,3.5000000000000004,2.6,11.76010204037363
campaign.n,44.4,50.4,39.6,3.4000000000000004,4.2,2.8000000000000003,12.286578042726136
cheat.v,42.199999999999996,28.4,82.1,34.2,22.900000000000002,67.60000000000001,37.98999868386415
assemble.v,29.5,18.8,68.10000000000001,23.400000000000002,15.8,44.800000000000004,26.27356085497358
root.v,60.0,76.2,49.5,24.099999999999998,35.8,18.2,38.02630668366309
reveal.v,22.400000000000002,14.000000000000002,55.400000000000006,10.4,7.1,19.7,15.263027222671132
haunt.v,20.9,12.9,56.2,38.0,25.0,79.60000000000001,28.18155425096352
operate.v,21.3,13.0,59.3,4.8,3.1,10.299999999999999,10.11137972781163
frame.v,36.5,57.4,26.700000000000003,2.6,4.1000000000000005,1.9,9.741663102366044
assert.v,33.2,31.1,35.699999999999996,3.8,3.5000000000000004,4.0,11.232096865679178
introduce.v,21.8,13.3,59.8,6.0,4.0,12.7,11.436782764396638
swear.v,18.9,13.700000000000001,30.3,27.200000000000003,22.900000000000002,33.7,22.673332353229423
bow.v,24.2,17.4,40.0,38.9,32.300000000000004,48.8,30.681916498158976
figure.v,27.0,18.099999999999998,53.6,23.400000000000002,18.099999999999998,33.1,25.135632078784095
analyze.v,48.8,34.699999999999996,82.39999999999999,7.5,4.7,19.1,19.131126469708992
expose.v,20.5,12.7,53.400000000000006,14.799999999999999,9.9,29.599999999999998,17.418381095842403
conclude.v,47.199999999999996,51.4,43.6,19.3,21.3,17.7,30.182113908737406
appeal.v,23.9,18.6,33.300000000000004,13.0,10.7,16.5,17.626684316683043
owe.v,33.1,34.4,32.0,6.6000000000000005,6.7,6.5,14.78039241698271
mount.v,36.199999999999996,38.6,34.2,42.6,42.6,42.699999999999996,39.26983575213932
regain.v,55.60000000000001,46.300000000000004,69.39999999999999,2.0,1.6,2.5,10.545141061171254
relax.v,32.1,23.799999999999997,49.0,15.5,12.2,21.2,22.305828834634234
cultivate.v,48.9,49.3,48.6,4.7,5.7,4.0,15.160145118038944
violate.v,20.4,11.4,95.39999999999999,3.5999999999999996,1.9,34.1,8.569714114251418
commit.v,52.900000000000006,53.1,52.800000000000004,7.7,8.5,7.1,20.182418091001882
pour.v,42.0,56.8,33.300000000000004,10.5,14.7,8.200000000000001,21.0
deny.v,59.199999999999996,53.0,67.0,0.7000000000000001,0.7000000000000001,0.8,6.437390775772433
lay.v,40.300000000000004,42.5,38.4,17.9,19.6,16.5,26.858332040541907
shave.v,24.0,15.1,58.5,12.1,8.0,25.2,17.041126723312633
weigh.v,45.4,44.2,46.800000000000004,41.5,41.9,41.199999999999996,43.40622075232996
apply.v,37.5,54.1,28.7,2.1999999999999997,3.3000000000000003,1.6,9.082951062292475
level.v,44.3,55.900000000000006,36.7,25.6,34.699999999999996,20.3,33.6761042877587
presume.v,45.7,31.5,82.89999999999999,22.6,15.2,44.2,32.13751701672051
wait.v,67.5,51.800000000000004,97.1,0.0,0.0,0.0,0.0
stick.v,21.2,15.8,32.300000000000004,12.5,10.299999999999999,15.7,16.278820596099706
separate.v,23.5,13.8,81.69999999999999,11.600000000000001,7.000000000000001,34.4,16.510602654052335
reap.v,29.2,17.4,91.3,22.6,12.7,100.0,25.688908112257323
signal.v,19.400000000000002,12.1,49.3,9.9,6.6000000000000005,19.7,13.858571354941319
swim.v,47.4,31.8,92.60000000000001,6.1,3.5000000000000004,24.6,17.004117148502594
slow.v,62.7,49.3,85.9,9.4,6.5,17.299999999999997,24.27714975033107
question.v,40.0,33.5,49.5,1.4000000000000001,1.2,1.7999999999999998,7.4833147735478835
happen.v,63.6,50.9,84.6,4.3999999999999995,3.2,6.9,16.728418933061185
insist.v,50.6,50.7,50.4,1.6,1.6,1.6,8.997777503361595
observe.v,36.3,36.7,36.0,10.6,11.3,10.100000000000001,19.61580995013971
lie.v,29.4,18.3,73.8,5.8999999999999995,3.8,14.000000000000002,13.170421405558745
deploy.v,47.4,55.400000000000006,41.4,6.4,7.8,5.4,17.417232845661793
accommodate.v,6.7,4.5,12.5,43.8,32.9,65.7,17.130674242422568
sniff.v,34.599999999999994,43.8,28.599999999999998,17.0,23.0,13.5,24.252834885843757
straighten.v,44.9,62.2,35.099999999999994,7.6,11.3,5.800000000000001,18.472682533947253
pursue.v,63.4,51.0,83.89999999999999,7.6,5.6000000000000005,11.799999999999999,21.9508541975022
defend.v,52.7,49.3,56.699999999999996,0.7000000000000001,0.6,0.7000000000000001,6.073713855624087
divide.v,48.1,81.2,34.1,7.1,19.5,4.3999999999999995,18.479989177486008
mean,35.7,33.751999999999995,48.769000000000005,14.135999999999997,12.847999999999997,19.858999999999998,19.286858987334266
