context_id	target_label	target_lemma	pos_tag	sentence	target_id
threat.n.1	threat.n	threat	n	"However , history has proven that "" big and complete "" monopolies of production and sales is not beneficial to the national economy 's healthy development . For instance , in the '70's , mergers of US steel mills directly led to the birth of a few large-scale unified steel companies , but these companies also faced serious threats from small-scale steel mills , which are flexible in operation and advanced in technology . Moreover , company takeovers have had bad effects on consumers in terms of product quality and price , and at the same time on workers ' employment ."	58
threat.n.2	threat.n	threat	n	This report predicted that by the year 2010 , the proportion that China 's economy accounts for in the world economy will rise from the current 2.5 % to 5 % or 6 % ; the proportion that China 's exports accounts for among total world exports will expand from the current 3 % to 10 % . The report said , China 's rapid economic growth should not be viewed as a type of threat , but should be viewed as a positive ingredient helping to promote an Asia - Pacific region filled with life and developing . The report hoped that the Japanese government and society would be able to provide co-operation in areas such as China 's interior development , environmental control and a full - fledged financial capital market , etc .	75
threat.n.3	threat.n	threat	n	A department spokesman said the ruling `` raised a serious question '' about the office of the president . Bush said Washington would continue a trade embargo against Nicaragua , declaring that the Central American country poses `` an unusual and extraordinary threat '' to the security of the U.S. . Meanwhile , Secretary of State Baker said the U.S. protested to Moscow over shipments of East bloc arms to Salvadoran rebels from Managua .	42
threat.n.4	threat.n	threat	n	`` But the question is whether things people are looking at will actually surface in live transactions in light of the current market conditions . '' MURDER THREAT charged in Haas Securities Corp . stock - manipulation trial . In the trial of former Haas Securities Chairman Eugene Laff , the defense accused one of the government 's chief witnesses of threatening to kill Mr. Laff .	27
threat.n.5	threat.n	threat	n	According to the transcript , Mr. Lorin said Mr. Laff should be killed after Mr. Aslanian told him that information given to Mr. Laff by another conspirator could jeopardize the stock scheme . Mr. Lorin then repeated the threat , and Mr. Aslanian urged him not to say such things . From the parts of the transcript read by Mr. Lang , it was unclear what exactly Mr. Lorin feared might happen .	38
threat.n.6	threat.n	threat	n	Lawmakers have n't publicly raised the possibility of renewing military aid to the Contras , and President Bush parried the question at a news conference here Saturday , saying only that `` if there 's an all - out military offensive , that 's going to change the equation 180 degrees . '' But Mr. Ortega 's threat over the weekend to end a 19 - month cease - fire with the rebels seeking to topple him , effectively elevated the Contras as a policy priority just as they were slipping from the agendas of their most ardent supporters . Senate Majority Leader George Mitchell -LRB- D. , Maine -RRB- said yesterday on NBC - TV 's `` Meet the Press '' that Mr. Ortega 's threat was `` a very unwise move , particularly the timing of it . ''	57
threat.n.7	threat.n	threat	n	But Mr. Ortega 's threat over the weekend to end a 19 - month cease - fire with the rebels seeking to topple him , effectively elevated the Contras as a policy priority just as they were slipping from the agendas of their most ardent supporters . Senate Majority Leader George Mitchell -LRB- D. , Maine -RRB- said yesterday on NBC - TV 's `` Meet the Press '' that Mr. Ortega 's threat was `` a very unwise move , particularly the timing of it . '' The threat came during a two - day celebration in Costa Rica to highlight Central America 's progress toward democracy in the region , attended by President Bush , Canadian Prime Minister Brian Mulroney and 14 other Western Hemisphere leaders .	73
threat.n.8	threat.n	threat	n	Senate Majority Leader George Mitchell -LRB- D. , Maine -RRB- said yesterday on NBC - TV 's `` Meet the Press '' that Mr. Ortega 's threat was `` a very unwise move , particularly the timing of it . '' The threat came during a two - day celebration in Costa Rica to highlight Central America 's progress toward democracy in the region , attended by President Bush , Canadian Prime Minister Brian Mulroney and 14 other Western Hemisphere leaders . Mr. Bush returned to Washington Saturday night .	42
threat.n.9	threat.n	threat	n	The humanitarian assistance , which pays for supplies such as food and clothing for the rebels amassed along the Nicaraguan border with Honduras , replaced the military aid cut off by Congress in February 1988 . While few lawmakers anticipated that the humanitarian aid would be cut off next month , Mr. Ortega 's threat practically guarantees that the humanitarian aid will be continued . Senate Minority Leader Robert Dole -LRB- R. , Kan . -RRB- said yesterday on `` Meet the Press '' : `` I would hope after his -LCB- Mr. Ortega 's -RCB- act yesterday or the day before , we 'd have unanimous support for quick action on remaining humanitarian aid . ''	54
threat.n.10	threat.n	threat	n	Sen. Mitchell said that congressional Democrats intend to honor the March agreement to give non-lethal support to the Contras through the February elections , although he added that the agreement requires that the Contras not initiate any military action . Mr. Ortega 's threat to breach the cease - fire comes as U.S. officials were acknowledging that the Contras have at times violated it themselves . Secretary of State James Baker , who accompanied President Bush to Costa Rica , told reporters Friday : `` I have no reason to deny reports that some Contras ambushed some Sandinista soldiers . ''	43
threat.n.11	threat.n	threat	n	CONGRESSIONAL LEADERS BACKED Bush 's criticism of Nicaragua 's Ortega . While lawmakers have n't raised the possibility of renewing military aid to the Contras following Ortega 's weekend threat to end a truce , Senate Majority Leader Mitchell said on NBC - TV that Ortega had made `` a very unwise move . '' Minority Leader Dole plans to offer a resolution tomorrow denouncing the Nicaraguan president , whose remarks came during a celebration in Costa Rica marking regional moves to democracy .	29
threat.n.12	threat.n	threat	n	Mr. Quinlan , 30 years old , knew he carried a damaged gene , having lost an eye to the rare tumor when he was only two months old -- after his mother had suffered the same fate when she was a baby . Because of the isolation of the retinoblastoma tumor - suppressor gene , it became possible last January to find out what threat the Quinlan baby faced . A test using new `` genetic probes '' showed that little Will Quinlan had not inherited a damaged retinoblastoma supressor gene and , therefore , faced no more risk than other children of developing the rare cancer .	65
threat.n.13	threat.n	threat	n	But advertising revenue is inadequate . Periodically , there are threats that the program will fold . `` Batibot '' lacks the polish of `` Sesame Street . ''	10
threat.n.14	threat.n	threat	n	Those countries -- including Japan , Italy , Canada , Greece and Spain -- are still of some concern to the U.S. but are deemed to pose less - serious problems for American patent and copyright owners than those on the `` priority '' list . Gary Hoffman , a Washington lawyer specializing in intellectual - property cases , said the threat of U.S. retaliation , combined with a growing recognition that protecting intellectual property is in a country 's own interest , prompted the improvements made by South Korea , Taiwan and Saudi Arabia . `` What this tells us is that U.S. trade law is working , '' he said .	61
threat.n.15	threat.n	threat	n	He said disciplinary proceedings are confidential and declined to comment on whether any are being held against Mr. Trudeau . Mr. Trudeau 's attorney , Norman K. Samnick , said the harassment consists mainly of the guild 's year - long threats of disciplinary action . Mr. Samnick said a guild disciplinary hearing is scheduled next Monday in New York .	41
threat.n.16	threat.n	threat	n	Nicaragua 's Ortega postponed until today a decision on whether to end a 19 - month - old cease - fire in the conflict with the Contra rebels . In Washington , the Senate voted to condemn Ortega 's threat to cancel the truce , and Bush said he would review U.S. policy toward Managua , including the possibility of renewing military aid to the rebels . Chinese leader Deng told former President Nixon that the U.S. was deeply involved in `` the turmoil and counterrevolutionary rebellion '' that gripped Beijing last spring .	39
threat.n.17	threat.n	threat	n	Officials fear that any loosening this year could rekindle inflation or further weaken the pound against other major currencies . Fending off attacks on his economic policies in a House of Commons debate yesterday , Mr. Lawson said inflation `` remains the greatest threat to our economic well - being '' and promised to take `` whatever steps are needed '' to choke it off . The latest government figures said retail prices in September were up 7.6 % from a year earlier .	43
threat.n.18	threat.n	threat	n	One investment banker who is n't involved in the deal says SCI TV needs at least $ 50 million of new equity to survive . Junk - holders say they have a stick to beat KKR with : `` The threat of bankruptcy is a legitimate tool '' to extract money from KKR , says one big SCI TV holder . This could be the first major bankruptcy - law proceeding for KKR , he adds .	40
threat.n.19	threat.n	threat	n	A Wellcome spokesman declined to comment on the discovery of the antibody in Japan . But Andrew Porter , a drug - industry analyst at Nikko Securities Co. in London , said if the product were to be successfully developed it would represent `` a potential threat to the long - term viability of Retrovir .	46
threat.n.20	threat.n	threat	n	Greedily , it grabbed a pawn , at the cost of facing a brutal attack . And when a defensive move was called for , D.T. passed up an obvious pawn move and instead exposed its queen to immediate tactical threats . Mr. Kasparov remarked later that `` even a weak club player '' would have avoided the queen move .	40
threat.n.21	threat.n	threat	n	There are still others who do n't mind seeing new crises arise . Environmental groups would soon go out of business were they not able to send out mailings describing the latest threat and asking for money to fight it . University professors and consultants with scientific credentials saw a huge market for their services evaporate when price decontrol destroyed the energy crisis and thus the demand for `` alternative energy . ''	32
threat.n.22	threat.n	threat	n	In other words , environmentalism has created a whole set of vested interests that fare better when there are many problems than when there are few . That tends to tilt the public debate toward `` solutions '' even when some of the most knowledgeable scientists are skeptical about the seriousness of the threats and the insistence of urgency . There is an element of make - work involved .	53
threat.n.23	threat.n	threat	n	If they were really getting insurance against environmental disaster , the price would be cheap . But if there is no impending threat , it can get to be very expensive .	22
threat.n.24	threat.n	threat	n	So , it is n't surprising that consumer - credit delinquencies at banks remain , as the chart shows , reassuringly below some earlier highs -LRB- see accompanying illustration -- WSJ Oct. 23 , 1989 -RRB- . A severe recession could , of course , raise delinquency rates , but so far the current levels of consumer debt do n't seem to loom as a major threat . In fact , the current weakness in auto buying and department - store sales and the gradual upturn in the household saving rate suggest that consumers , conservative as ever , are already clutching their purses a bit more tightly .	66
threat.n.25	threat.n	threat	n	Pachinko is slightly on the shady side , often linked to the lower ranks of Japan 's underworld and regularly at the top of annual lists of tax evaders . Recently the industry has faced the threat of new restrictions , and political donations may have been made with the intent to bribe . Also , about 60 % of pachinko parlor owners are Korean , many of whom maintain close ties with North or South Korean residents ' organizations , and donations by such foreign groups are illegal in Japan .	36
threat.n.26	threat.n	threat	n	Exports in the first eight months grew only 9 % , to $ 31.48 billion , compared with a growth rate of 25 % a year earlier , according to Chinese customs figures . The threat to China 's balance of payments is further aggravated by the plunge in its foreign - exchange reserves , excluding gold holdings . The reserves dropped for the first time in recent years , to $ 14 billion in June from $ 19 billion in April .	35
threat.n.27	threat.n	threat	n	`` It 's a double - edged sword though , because it is also the most contagious kind of hepatitis . '' GTE officials began posting warning notices about the potential threat to exposure Wednesday morning at various places at the company , said GTE spokesman Thomas Mattausch . The company has begun offering shots of gamma globulin , which will diminish the flu - like symptoms of hepatitis A , in anyone who has contracted the disease , Mr. Mattausch said .	31
threat.n.28	threat.n	threat	n	`` Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies , '' said Noel D. Matchett , a former staffer at the federal National Security Agency and now president of Information Security Inc. , Silver Spring , Md . It `` may well be '' that theft of business data is `` as serious a strategic threat to national security '' as it is a threat to the survival of victimized U.S. firms , said Michelle Van Cleave , the White House 's assistant director for National Security Affairs . The conference was jointly sponsored by the New York Institute of Technology School of Management and the Armed Forces Communications and Electronics Association , a joint industry - government trade group .	65
threat.n.29	threat.n	threat	n	`` Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies , '' said Noel D. Matchett , a former staffer at the federal National Security Agency and now president of Information Security Inc. , Silver Spring , Md . It `` may well be '' that theft of business data is `` as serious a strategic threat to national security '' as it is a threat to the survival of victimized U.S. firms , said Michelle Van Cleave , the White House 's assistant director for National Security Affairs . The conference was jointly sponsored by the New York Institute of Technology School of Management and the Armed Forces Communications and Electronics Association , a joint industry - government trade group .	65
threat.n.30	threat.n	threat	n	Senate GOP leader Dole ridicules the budget chief on the Senate floor . Democratic counterpart Mitchell , asked to interpret Darman 's threat to make permanent the across - the - board Gramm - Rudman cuts that took effect this week , says , `` I do n't even bother to interpret them . '' But Darman suggests such tensions will dissipate quickly .	22
threat.n.31	threat.n	threat	n	Before July , pro-choice voters could safely make political decisions without focusing narrowly on abortion . Now , the threat of further restrictions adds a new dimension , bringing an upsurge in political activity by abortion - rights forces . A recent pro-choice rally in Trenton drew thousands , and in a major reversal , Congress is defying a presidential veto and demanding that Medicaid abortions be permitted in cases of rape and incest .	19
threat.n.32	threat.n	threat	n	Bush met with South Korean President Roh , who indicated that Seoul plans to further ease trade rules to ensure that its economy becomes as open as the other industrialized nations by the mid-1990s . Bush assured Roh that the U.S. would stand by its security commitments `` as long as there is a threat '' from Communist North Korea . The Bush administration is seeking an understanding with Congress to ease restrictions on U.S. involvement in foreign coups that might result in the death of a country 's leader .	54
threat.n.33	threat.n	threat	n	`` Everybody was afraid of him , '' Mr. Ingersoll says . Mr. Noriega became an even greater threat in 1976 , when U.S. intelligence services discovered that he had been buying recordings of electronically monitored conversations from three sergeants working for the U.S. Army 's 470th Military Intelligence Group . The tapes included wiretaps of Gen. Torrijos 's own phone , according to American intelligence officials .	18
threat.n.34	threat.n	threat	n	`` I think the Friday report , combined with the actions of the Fed , weakened the belief that there was going to be an imminent easing of monetary policy , '' said Robert Dederick , chief economist at Northern Trust Co. in Chicago . But economists were divided over the extent of the inflation threat signaled by the new numbers . `` The overall 0.9 % increase is serious in itself , but what is even worse is that excluding food and energy , the producer price index still increased by 0.7 % , '' said Gordon Richards , an economist at the National Association of Manufacturers .	55
threat.n.35	threat.n	threat	n	In the 1987 crash , remember , the market was shaken by a Danny Rostenkowski proposal to tax takeovers out of existance . Even more important , in our view , was the Treasury 's threat to thrash the dollar . The Treasury is doing the same thing today ; thankfully , the dollar is not under 1987 - style pressure .	35
threat.n.36	threat.n	threat	n	We never intended taking on Sony -- we do n't have the resources . '' Sony answered the empty threat with its real suit . Off and on since then , the companies have skirmished in court .	19
threat.n.37	threat.n	threat	n	If it does n't yield on these matters , and eventually begin talking directly to the ANC , the expectations and promise raised by yesterday 's releases will turn to disillusionment and unrest . If it does , the large number of right - wing whites , who oppose any concessions to the black majority , will step up their agitation and threats to take matters into their own hands . The newly released ANC leaders also will be under enormous pressure .	62
threat.n.38	threat.n	threat	n	"Information and analyses are forwarded to the president for his reference , said Chien , but no one focuses on particular individuals or political parties . The NSB also released a statement stressing that the information it collects is mostly related to matters that affect national security or pose a potential national security threat . As for the accusation that the NSB carries out politically motivated surveillance , the NSB stated that "" gathering intelligence on national affairs "" is one of its legally defined responsibilities ."	53
threat.n.39	threat.n	threat	n	"Regulations on a national financial stabilization fund : This law will empower the government to intervene to protect the stock market . In the event of "" threats to national stability "" - such as major internal or external events , rapid movements of international capital - the government will be able to draw on an NT$ 500 billion fund . This law has been criticized by academics as a serious distortion of the market mechanism , as putting the policy makers into the position of being market players , and as inevitably creating opportunities for insider trading and the manipulation of the market to the benefit of a privileged few ."	27
