,context_id,target_label,target_lemma,pos_tag,sentence,target_id
5285,cheat.v.1,cheat.v,cheat,v,"[zheng_bing] Good grief ! At first , we , that credit union , [zheng_bing] Good grief ! That service , everywhere they were saying Zheng Bing is raising capital illegally . [zheng_bing] Look , she 's cheating you out of your money ! [zheng_bing] If she could cheat you out of several tens of thousands and then she could leave the country !",36
5286,cheat.v.2,cheat.v,cheat,v,"[zheng_bing] Look , she 's cheating you out of your money ! [zheng_bing] If she could cheat you out of several tens of thousands and then she could leave the country ! [zheng_bing] These things really shook up our government .",16
5287,cheat.v.3,cheat.v,cheat,v,"[Tim_Russert] But did n't North Korea develop a nuclear bomb on Bill Clinton 's watch /? [Madeline_Albright] No what they were doing uh as it turns out , they were cheating /. [Madeline_Albright] and the reason that you have arms control agreements is that you do n't make them with your friends , you make them with your enemies /.",30
5288,cheat.v.4,cheat.v,cheat,v,[Robert_Gallucci] And the deal would have had the North Koreans end their nuclear weapons program /. [Robert_Gallucci] We think they started cheating in the late nineties by getting some gas centrifuge equipment from Pakistan /. [Robert_Gallucci] We do n't know a lot about that where it is whether the equipment has been put together /.,21
5289,cheat.v.5,cheat.v,cheat,v,[Tim_Russert] But they broke their word /. [Robert_Gallucci] They absolutely cheated /. [Robert_Gallucci] There 's no question about that /.,10
5290,cheat.v.6,cheat.v,cheat,v,[Tim_Russert] But you can have all the agreements you want /. [Tim_Russert] if they 're going to cheat what good are they /? [Robert_Gallucci] Madeline Albright essentially had it correct in my view /.,17
5291,cheat.v.7,cheat.v,cheat,v,[Robert_Gallucci] and you verify /. [Robert_Gallucci] We caught them cheating /. [Robert_Gallucci] You might make another deal /.,9
5292,cheat.v.8,cheat.v,cheat,v,"Xinhua News Agency , Beijing , January 21st Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange .",27
5293,cheat.v.9,cheat.v,cheat,v,"Xinhua News Agency , Beijing , January 21st Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange .",27
5294,cheat.v.10,cheat.v,cheat,v,"Xinhua News Agency , Beijing , January 21st Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange .",27
